Company,Link,Link-Count,DocURL,Error
Expedia Group Inc.,https://www.expediagroup.com/investors/financial-information/annual-reports/default.aspx,0.0,,
Expeditors International of Washington Inc.,https://investor.expeditors.com/financial-information/annual-reports,51.0,,
Extended Stay America,https://www.aboutstay.com/financial-information/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=#views-exposed-form-widget-sec-filings-table,,https://www.expeditors.com/media/2310/2021-modern-slavery-statement.pdf,"Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD880D]
	(No symbol) [0x00CD508E]
	(No symbol) [0x00CCB4B2]
	(No symbol) [0x00CCC34F]
	(No symbol) [0x00CCB746]
	(No symbol) [0x00CCAAF8]
	(No symbol) [0x00CCAA9A]
	(No symbol) [0x00CC97F2]
	(No symbol) [0x00CC9ED8]
	(No symbol) [0x00CDA5B3]
	(No symbol) [0x00D3BD41]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
Extra Space Storage Inc.,https://ir.extraspace.com/financial-stock-info/annual-reports,4.0,,
Exxon Mobil Corporation,https://corporate.exxonmobil.com/Investors/Annual-Report#Toourshareholders,22.0,,
F5 Networks Inc.,https://investors.f5.com/financials/annual-reports/default.aspx,65.0,,
"Facebook, Inc.",https://investor.fb.com/financials/?section=annualreports,0.0,,
Factset Research Systems,https://investor.factset.com/financials/annual-reports-and-proxies,21.0,,
Fair Isaac Corp,https://investors.fico.com/financial-information,23.0,,
Fastenal Company,https://investor.fastenal.com/investor-resources/annual-report-proxy-materials/default.aspx,0.0,,
Fastly,https://investors.fastly.com/financials/sec-filings/default.aspx,,https://investors.fico.com/static-files/0e9ee560-e3b0-47ce-996c-57696e4cf5ee,"Message: unknown error: net::ERR_CONNECTION_CLOSED
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD880D]
	(No symbol) [0x00CD508E]
	(No symbol) [0x00CCB4B2]
	(No symbol) [0x00CCC34F]
	(No symbol) [0x00CCB746]
	(No symbol) [0x00CCAAF8]
	(No symbol) [0x00CCAA9A]
	(No symbol) [0x00CC97F2]
	(No symbol) [0x00CC9ED8]
	(No symbol) [0x00CDA5B3]
	(No symbol) [0x00D3BD41]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
