Company,x,Member of the S&P500,Member of the Russell 1000 Index,source,Scraping code set up ?,Ticker(s),PR Agency,Example 2020 company PR agency press release URL,Domain,Company global/main press - news release site URL,Subscribed to press releases esgroadmap@gmail.com ?,Subscribed to press releases jameskijani@gmail.com ?,Plain text press release subscription possible? (yes/no),Company annual reports page URL,Company annual / financial report 2020 URL of pdf document (including 10-k),Company sustainability / ESG reports page URL,Company Sustainability / ESG report 2020 URL of pdf document,Country,NAICS #1,2017 NAICS TITLE,NAICS #2,2017 NAICS TITLE.1,NAICS #3,2017 NAICS TITLE.2,NAICS #4,2017 NAICS TITLE.3,NAICS #5,2017 NAICS TITLE.4,WORKED BY:,COMMENTS / NOTES,Carbon sentence available ?
10x Genomics,,no,yes,,,TXG,Globenewswire,https://www.globenewswire.com/news-release/2021/06/10/2245181/0/en/10x-Genomics-Unlocks-Whole-Transcriptome-Analysis-in-FFPE-Tissues-With-New-Visium-Assay-Now-Shipping.html,https://www.10xgenomics.com/,https://investors.10xgenomics.com/news-events/news-releases,YES,YES,NO,https://investors.10xgenomics.com/financials/,https://s28.q4cdn.com/592666581/files/doc_financials/2020/q4/0001770787-21-000009.pdf,not available,not available,United States,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",334516,Analytical Laboratory Instrument Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
2U Inc,,no,yes,,,TWOU,PRNewswire,https://www.prnewswire.com/news-releases/2u-inc-to-announce-future-conference-participation-on-investor-relations-website-301301439.html,https://2u.com/,https://investor.2u.com/news-and-events/press-releases/default.aspx,YES,YES,NO,https://investor.2u.com/reports-and-filings/annual-reports/default.aspx,https://s26.q4cdn.com/441000616/files/doc_financials/2020/ar/2020-Annual-Report.pdf,https://investor.2u.com/esg/esg-reports/default.aspx,https://s26.q4cdn.com/441000616/files/doc_financials/2020/ar/2U-2020-ESG-Report-FINAL.pdf,United States,611710,Educational Support Services,*,*,*,*,*,*,*,*,LILYD - Russell,,0
3M Company,,yes,yes,A.P. Moller – Maersk,,MMM,Businesswire,http://www.businesswire.com/news/home/20201130005805/en/3M-Announces-Upcoming-Investor-Event,http://www.3m.com/,https://news.3m.com/English/press-releases/default.aspx,YES,YES,NO,https://investors.3m.com/financials/annual-reports-and-proxy-statements/default.aspx,https://s24.q4cdn.com/834031268/files/doc_financials/2020/ar/2020_3M_Annual_Report.pdf,https://www.3m.com/3M/en_US/sustainability-us/,https://multimedia.3m.com/mws/media/1836747O/2020-sustainability-report.pdf,United States,339112,Surgical and Medical Instrument Manufacturing ,325412,Pharmaceutical Preparation Manufacturing ,325611,Soap and Other Detergent Manufacturing ,325620,Toilet Preparation Manufacturing,339113,Surgical Appliance and Supplies Manufacturing ,,,0
A. O. Smith Corporation,,yes,yes,,,AOS,PRNewswire,"https://www.prnewswire.com/news-releases/a-o-smith-reports-first-quarter-results-301279752.html#:~:text=Smith%20team%20delivered%20record%20first,chairman%20and%20chief%20executive%20officer.",https://www.aosmith.com/,https://investor.aosmith.com/press-releases,YES,YES,NO,https://www.aosmith.com/About/2020-Annual-Report/,https://www.aosmith.com/uploadedFiles/Web_Assets/Documents/Annual_Report/2020%20Annual%20Report%20-%20A.%20O.%20Smith%20Corporation%20hires.pdf,https://www.aosmith.com/2020-CRS-Report/,https://www.aosmith.com/uploadedFiles/Web_Assets/Documents/Sustainability/2020%20CRS%20Report%20-%20A.%20O.%20Smith%20Corporation.pdf,United States,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,335210,Small Electrical Appliance Manufacturing,335220,Major Household Appliance Manufacturing ,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,*,*,LILYD - S&P,,0
A.P. Moller – Maersk,,no,no,Abbott Laboratories,,MAERSK-B,Globenewswire,https://www.globenewswire.com/news-release/2020/09/01/2086628/0/en/Press-release-A-P-Moller-Maersk-to-integrate-Safmarine-brand-to-accelerate-growth.html,http://www.maersk.com/,https://www.maersk.com/press,YES,YES,NO,https://investor.maersk.com/financial-reports,https://investor.maersk.com/static-files/97a03c29-46a2-4e84-9b7e-12d4ee451361,https://www.maersk.com/about/sustainability/reports,https://www.maersk.com/~/media_sc9/maersk/about/files/sustainability/sustainability-reports/apmm-sustainability-report-2020-a4-210210.pdf,Denmark,483111,Deep Sea Freight Transportation ,482111,Line-Haul Railroads ,531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,531190,Lessors of Other Real Estate Property ,483113,Coastal and Great Lakes Freight Transportation ,,,0
Abbott Laboratories,,yes,yes,AbbVie Inc.,,ABT,PRNewswire,https://www.prnewswire.com/news-releases/abbott-receives-ce-mark-for-its-covid-19-igg-quantitative-antibody-blood-test-301192417.html,http://www.abbott.com/,https://abbott.mediaroom.com/,YES,YES,NO,https://www.abbottinvestor.com/financials/annual-reports,https://www.abbottinvestor.com/static-files/52cadf21-4090-40fd-9857-fa58e1e25949,https://www.abbott.com/responsibility/sustainability/sustainability-reporting.html,https://dam.abbott.com/en-us/documents/pdfs/abbott-citizenship/Abbott-2020-Global-Sustainability-Report.pdf,United States,325412,Pharmaceutical Preparation Manufacturing ,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,*,*,*,*,,,0
AbbVie Inc.,,yes,yes,Accenture,,ABBV,PRNewswire,https://www.prnewswire.com/news-releases/imbruvica-ibrutinib-patient-reported-outcomes-data-detail-long-term-improvement-in-treatment-outcomes-and-quality-of-life-experience-in-chronic-lymphocytic-leukemia-cll-patients-300569249.html,http://www.abbvie.com/,https://news.abbvie.com/news/press-releases/,YES,YES,NO,https://investors.abbvie.com/annual-report-proxy,https://investors.abbvie.com/static-files/47512e94-a9a4-4035-8dbc-6eb59116bb05,https://www.abbvie.com/societal-impact.html,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/societal-impact/abbvie-esg-action-report.pdf,United States,325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,*,*,,,0
Abiomed Inc,,yes,yes,,,ABMD,Businesswire,https://www.businesswire.com/news/home/20210601005259/en/,https://www.abiomed.com/,https://investors.abiomed.com/press-releases,YES,YES,NO,https://investors.abiomed.com/financial-information/annual-reports,https://investors.abiomed.com/static-files/d6e79327-aae7-4a1b-bd5e-6846e0955593,https://investors.abiomed.com/corporate-governance,not available,United States,339112,Surgical and Medical Instrument Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
"Acadia Healthcare Company, Inc",,no,yes,,,ACHC,Businesswire,https://www.businesswire.com/news/home/20210526005893/en/,https://www.acadiahealthcare.com/,https://www.acadiahealthcare.com/investors/press-releases/,YES,YES,NO,https://www.acadiahealthcare.com/investors/proxy-materials/,https://acadiahealthcare.gcs-web.com/static-files/2a623c9e-97e2-4d54-94a8-01e14ee4f98e,not available,not available,United States,621498,All Other Outpatient Care Centers ,622110,General Medical and Surgical Hospitals ,*,*,*,*,*,*,LILYD - Russell,,0
Acadia Pharmaceuticals Inc,,no,yes,,,ACAD,Businesswire,https://www.businesswire.com/news/home/20210603005317/en/,https://www.acadia-pharm.com/,https://ir.acadia-pharm.com/news-releases,YES,YES,NO,https://ir.acadia-pharm.com/annual-report-and-proxy,https://ir.acadia-pharm.com/static-files/dd158d36-4883-4b87-8d4d-efe7078e4291,not available,not available,United States,325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Acceleron Pharma Inc,,no,yes,,,XLRN,Businesswire,https://www.businesswire.com/news/home/20210611005039/en/,https://acceleronpharma.com/,https://investor.acceleronpharma.com/news/default.aspx,YES,YES,NO,https://investor.acceleronpharma.com/financials/annual-meeting/default.aspx,https://s26.q4cdn.com/658148704/files/doc_financials/2020/ar/2020-Acceleron-Annual-Report.pdf,https://investor.acceleronpharma.com/resources/esg/default.aspx,not available,United States,325414,Biological Product (except Diagnostic) Manufacturing ,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",325412,Pharmaceutical Preparation Manufacturing ,*,*,*,*,LILYD - Russell,,0
